System,Teff,err,err.1,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup.1,errdn.1,loggA,errup.2,errdn.2,rho_A,errup.3,errdn.3,Period,e,errup.4,errdown,a(AU),errup.5,errdown.1,M_b,errup.6,errdn.4,R_b,errup.7,errdn.5,g_b,errup.8,errdn.6,rho_b,errup.9,errdn.7,Teq,err.2,err.3,Discovery_reference,Recent_reference,Rp_Rs,a_Rs,host_star,has_pdcsap,n_sectors,sector_list,pl_name,hostname,tic_id,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_orbeccen,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_imppar,pl_impparerr1,pl_impparerr2,pl_trandep,ttv_flag,st_teff,st_logg,st_rad,discoverymethod,nea_match_type
TOI-4184,3225,75,75,-0.27,0.09,0.09,0.24,0.012,0.012,0.242,0.013,0.013,5.01,0.04,0.04,16.3,1.3,1.1,4.902,0.0,-1.0,-1.0,0.0336,0.0015,0.0015,-1.0,-1.0,-1.0,0.217,0.019,0.019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,412.0,8.0,8.0,2023A+A...677A..38B,2023A+A...677A..38B,0.8966942148760331,29.855686673951567,TOI-4184,True,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",TOI-4184 b,TOI-4184,TIC 394357918,89.43,0.16,-0.16,,,,30.79,0.96,-0.96,,2459483.65667,0.00023,-0.00023,1.3,0.02,-0.02,0.306,0.061,-0.061,0.9115,0.0,3238.0,5.01,0.2347,Transit,host_single
TOI-1431,7690,400,250,0.43,0.2,0.28,1.9,0.1,0.08,1.92,0.07,0.07,4.15,0.04,0.04,0.27,0.04,0.04,2.65,0.01,0.0036,0.009,0.046,0.002,0.002,3.14,0.19,0.18,1.49,0.05,0.05,34.5,0.9,0.9,0.89,0.15,0.13,2390.0,100.0,100.0,2021AJ....162..292A,2021AJ....162..292A,0.7760416666666667,5.15180902862148,TOI-1431,True,9,"[15, 16, 55, 56, 57, 76, 77, 83, 84]",TOI-1431 b,TOI-1431,TIC 375506058,80.13,0.13,-0.13,0.07955,0.00063,-0.00053,5.15,0.05,-0.05,0.0022,2458739.17737,7e-05,-7e-05,2.489,0.009,-0.009,0.881,0.004,-0.004,0.5797,0.0,7690.0,4.15,1.92,Transit,host_single
KELT-15,6003,56,52,0.047,0.032,0.032,1.181,0.051,0.05,1.481,0.091,0.041,4.234,0.045,0.041,0.457,0.078,0.061,3.329,0.0,0.39,0.0,0.04613,0.00065,0.00065,1.196,0.072,0.072,1.52,0.12,0.11,12.8,2.1,1.8,0.317,0.083,0.063,1904.0,54.0,54.0,2016AJ....151..138R,2016AJ....151..138R,1.026333558406482,6.697790343501644,KELT-15,True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",KELT-15 b,KELT-15,TIC 268644785,88.3,1.45,-1.45,,,,6.7,0.25,-0.25,0.0,,,,,,,,,,1.0,0.0,6003.0,4.17,1.78,Transit,host_single
KELT-07,6699,24,24,0.24,0.02,0.02,1.517,0.022,0.022,1.712,0.037,0.037,4.15,0.09,0.09,0.301,0.025,0.025,2.735,0.0,-1.0,-1.0,0.0434,0.0012,0.0012,1.28,0.17,0.17,1.496,0.035,0.035,14.21,1.78,1.85,0.36,0.08,0.08,2028.0,17.0,17.0,2015AJ....150...12B,2022MNRAS.515.1247T,0.8738317757009346,5.451162417931871,KELT-07,True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",KELT-7 b,KELT-7,TIC 367366318,83.76,0.38,-0.38,,,,5.5,0.17,-0.17,0.0,,,,,,,,,,0.83,0.0,6768.0,4.5,1.81,Transit,host_single
TOI-1268,5257,40,40,0.17,0.06,0.06,0.9,0.13,0.13,0.86,0.02,0.02,4.52,0.07,0.07,1.4,0.23,0.23,8.158,0.12,0.24,0.12,0.0688,0.0017,0.0019,0.29,0.04,0.04,0.747,0.018,0.018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2022ApJ...926L...7D,2022A+A...662A.107S,0.8686046511627907,17.202562321657812,TOI-1268,True,8,"[15, 21, 22, 41, 48, 49, 75, 76]",TOI-1268 b,TOI-1268,TIC 142394656,88.63,0.32,-0.3,0.091,0.001,-0.001,16.62,0.97,-0.84,0.105,2458711.7477,0.00021,-0.00021,4.001,0.025,-0.024,0.423,0.063,-0.081,0.8186,0.0,5300.0,4.55,0.92,Transit,host_single
WASP-117,6040,90,90,-0.11,0.14,0.14,1.126,0.029,0.029,1.17,0.067,0.059,4.28,0.16,0.16,0.7,0.1,0.1,10.022,0.302,0.023,0.023,0.09459,0.00084,0.00079,0.2755,0.009,0.009,1.021,0.076,0.065,6.56,0.87,0.82,0.259,0.054,0.048,1024.0,30.0,26.0,2014A+A...568A..81L,2014A+A...568A..81L,0.8726495726495727,17.38451250005996,WASP-117,True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",WASP-117 b,WASP-117,TIC 166739520,89.14,0.3,-0.3,,,,17.43,0.98,-0.98,0.3,,,,,,,,,,0.8,0.0,6040.0,4.28,1.22,Transit,host_single
TOI-2096c,3300,50,50,-0.03,0.2,0.2,0.231,0.012,0.012,0.235,0.011,0.011,5.05,0.05,0.05,16.9,2.3,2.3,6.388,0.1,0.17,0.06,0.04,0.002,0.002,-1.0,-1.0,-1.0,0.1708,0.0085,0.0085,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,349.0,10.0,9.0,2023A+A...672A..70P,2023A+A...672A..70P,0.726808510638298,36.60119642905918,TOI-2096c,True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",TOI-2096 c,TOI-2096,TIC 142748283,89.56,0.26,-0.23,0.0747,0.0012,-0.0011,,,,0.1,2459147.45983,0.00034,-0.00034,1.354,0.018,-0.016,0.28,0.15,-0.16,0.636,0.0,3300.0,5.05,0.235,Transit,planet_name
TOI-905,5570,150,140,0.14,0.22,0.18,0.968,0.061,0.068,0.918,0.038,0.036,4.498,0.025,0.027,1.25,0.11,0.11,3.739,0.024,0.025,0.017,0.0467,0.001,0.0011,0.667,0.042,0.041,1.171,0.053,0.051,-1.0,-1.0,-1.0,0.388,0.048,0.043,1192.0,39.0,36.0,2020AJ....160..229D,2020AJ....160..229D,1.275599128540305,10.938993197459418,TOI-905,True,8,"[0, 1, 2, 3, 4, 5, 6, 7]",TOI-905 b,TOI-905,TIC 261867566,85.68,0.22,-0.26,,,,,,,0.024,2458643.30898,0.0002,-0.0002,2.028,0.0264,-0.036,0.816,0.01,-0.012,1.718,0.0,5570.0,4.498,0.918,Transit,host_single
KELT-20,8652,160,160,-0.29,0.22,0.36,1.76,0.14,0.2,1.561,0.058,0.064,4.292,0.017,0.02,0.4901,0.0043,0.0044,3.474,0.0,-1.0,-1.0,0.0542,0.0014,0.0021,0.0,3.5,0.0,1.735,0.07,0.075,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2261.0,73.0,73.0,2017AJ....154..194L,2024A+A...683A...1S,1.111467008327995,7.466198573301195,KELT-20,True,7,"[14, 40, 41, 54, 74, 75, 81]",KELT-20 b,KELT-20,TIC 69679391,86.12,0.28,-0.27,0.1144,0.00062,-0.00061,7.42,0.13,-0.13,,2457503.120049,0.00019,-0.00019,3.57552,0.02184,-0.02112,0.503,0.025,-0.028,1.309,0.0,8720.0,4.29,1.565,Transit,host_single
HD_017156,6046,76,72,0.208,0.058,0.058,1.285,0.064,0.082,1.517,0.038,0.036,4.207,0.018,0.018,0.366,0.028,0.025,21.216,0.6772,0.0045,0.0044,0.1632,0.0027,0.0027,3.26,0.11,0.11,1.094,0.031,0.03,67.5,3.8,3.6,2.32,0.2,0.17,888.0,12.0,11.0,2007A+A...476L..13B,2023AJ....165..252K,0.7211601845748188,23.13330727500457,HD 017156,True,8,"[18, 19, 25, 52, 59, 73, 79, 86]",HD 17156 b,HD 17156,TIC 302773669,86.51,0.37,-0.34,0.07412,0.00039,-0.0004,23.11,0.56,-0.53,0.6772,2458809.07037,0.00021,-0.00021,3.1505,0.016,-0.015,0.484,0.035,-0.041,0.5493,0.0,6046.0,4.184,1.517,Radial Velocity,host_single
