System,Teff,err,err.1,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup.1,errdn.1,loggA,errup.2,errdn.2,rho_A,errup.3,errdn.3,Period,e,errup.4,errdown,a(AU),errup.5,errdown.1,M_b,errup.6,errdn.4,R_b,errup.7,errdn.5,g_b,errup.8,errdn.6,rho_b,errup.9,errdn.7,Teq,err.2,err.3,Discovery_reference,Recent_reference,Rp_Rs,a_Rs,host_star,has_pdcsap,n_sectors,sector_list,pl_name,hostname,tic_id,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_orbeccen,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_imppar,pl_impparerr1,pl_impparerr2,pl_trandep,ttv_flag,st_teff,st_logg,st_rad,discoverymethod,nea_match_type
TOI-1235,3997,51,51,0.33,0.16,0.16,0.63,0.024,0.024,0.619,0.019,0.019,4.64,0.04,0.04,2.65,0.22,0.22,3.445,0.0,-1.0,-1.0,0.03826,0.00048,0.00049,0.0186,0.0019,0.0019,0.1511,0.0071,0.0069,20.1,3.0,2.7,5.1,1.0,0.8,775.0,13.0,13.0,2020A+A...639A.132B,2020A+A...639A.132B,0.2441033925686591,13.290994233170998,TOI-1235,True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",TOI-1235 b,TOI-1235,TIC 103633434,,,,,,,,,,0.049,2458683.6145,0.0045,-0.0045,,,,,,,,0.0,3997.0,4.64,0.619,Transit,host_single
HAT-P-67,6406,65,61,-0.08,0.05,0.05,1.642,0.155,0.072,2.546,0.099,0.084,3.854,0.014,0.023,0.083,0.002,0.002,4.81,0.0,-1.0,-1.0,0.06505,0.00273,0.00079,0.45,0.15,0.15,2.14,0.025,0.025,-1.0,-1.0,-1,0.046,0.015,0.016,1903.0,25.0,25.0,2017AJ....153..211Z,2025AJ....169..336W,0.8405341712490182,5.494043003848392,HAT-P-67,True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",HAT-P-67 b,HAT-P-67,TIC 198588220,,,,0.082,0.00025,-0.00026,5.173,0.049,-0.046,,2459010.99174,0.00017,-0.00016,,,,0.46,0.017,-0.019,,0.0,6640.0,3.84,2.62,Transit,host_single
WASP-117,6040,90,90,-0.11,0.14,0.14,1.126,0.029,0.029,1.17,0.067,0.059,4.28,0.16,0.16,0.7,0.1,0.1,10.022,0.302,0.023,0.023,0.09459,0.00084,0.00079,0.2755,0.009,0.009,1.021,0.076,0.065,6.56,0.87,0.82,0.259,0.054,0.048,1024.0,30.0,26.0,2014A+A...568A..81L,2014A+A...568A..81L,0.8726495726495727,17.38451250005996,WASP-117,True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",WASP-117 b,WASP-117,TIC 166739520,89.14,0.3,-0.3,,,,17.43,0.98,-0.98,0.3,,,,,,,,,,0.8,0.0,6040.0,4.28,1.22,Transit,host_single
HD_332231,6089,97,96,0.036,0.059,0.058,1.127,0.077,0.077,1.277,0.039,0.036,4.279,0.027,0.034,0.548,0.043,0.051,18.721,0.032,0.03,0.022,0.1436,0.0032,0.0033,0.251,0.017,0.017,0.867,0.027,0.025,8.04,0.78,0.77,0.356,0.035,0.033,876.0,17.0,17.0,2020AJ....159..241D,2022A+A...659A..44S,0.6789350039154268,24.180578987764896,HD 332231,True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",HD 332231 b,HD 332231,TIC 199376584,,,,0.06570397,0.00059265,-0.00046947,,,,0.0,2458692.2582,0.00071,-0.00071,6.1681657,0.0338313,-0.0264842,0.169195,0.145691,-0.118742,,0.0,6128.0,4.296,1.266,Transit,host_single
TOI-540,3216,83,8,-1.0,-1.0,-1.0,0.159,0.014,0.014,0.1895,0.0079,0.0079,-1.0,-1.0,-1,-1.0,-1.0,-1.0,1.239,0.0,-1.0,-1.0,0.01223,0.00036,0.00036,-1.0,-1.0,-1.0,0.0806,0.0046,0.006,-1.0,-1.0,-1,-1.0,-1.0,-1,611.0,23.0,23.0,2021AJ....161...23M,2021AJ....161...23M,0.4253298153034301,13.877792690888851,TOI-540,True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",TOI-540 b,TOI-540,TIC 200322593,86.8,0.28,-0.28,0.0436,0.0012,-0.0012,13.9,0.72,-0.72,0.0,2458411.82601,0.00046,-0.00046,,,,0.772,0.029,-0.029,,0.0,3216.0,,0.1895,Transit,host_single
TOI-2096c,3300,50,50,-0.03,0.2,0.2,0.231,0.012,0.012,0.235,0.011,0.011,5.05,0.05,0.05,16.9,2.3,2.3,6.388,0.1,0.17,0.06,0.04,0.002,0.002,-1.0,-1.0,-1.0,0.1708,0.0085,0.0085,-1.0,-1.0,-1,-1.0,-1.0,-1,349.0,10.0,9.0,2023A+A...672A..70P,2023A+A...672A..70P,0.726808510638298,36.60119642905918,TOI-2096c,True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",TOI-2096 c,TOI-2096,TIC 142748283,89.56,0.26,-0.23,0.0747,0.0012,-0.0011,,,,0.1,2459147.45983,0.00034,-0.00034,1.354,0.018,-0.016,0.28,0.15,-0.16,0.636,0.0,3300.0,5.05,0.235,Transit,planet_name
Kepler-020d,5495,50,50,0.07,0.08,0.08,0.948,0.051,0.051,0.964,0.018,0.018,4.446,0.01,0.01,1.07,0.27,0.27,77.612,0.0,0.6,0.0,0.3506,0.0081,0.0101,0.032,0.012,0.012,0.2448,0.0065,0.0049,-1.0,-1.0,-1,2.0,0.8,0.8,401.0,13.0,13.0,2012ApJ...749...15G,2016AJ....152..160B,0.2539419087136929,78.20563213139559,Kepler-020d,True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",Kepler-20 d,Kepler-20,TIC 158554588,89.708,0.17,-0.053,,,,,,,0.082,2454997.7296,0.0011,-0.0011,,,,,,,,0.0,5495.0,,0.9164,Transit,planet_name
Kepler-004,5857,120,120,0.17,0.06,0.06,1.173,0.196,0.1,1.48,0.33,0.13,4.168,0.063,0.133,0.362,0.081,0.136,3.214,0.0,-1.0,-1.0,0.0449,0.0024,0.0012,0.075,0.013,0.011,0.368,0.074,0.034,13.8,3.3,4.5,1.41,0.48,0.62,1620.0,140.0,60.0,2010ApJ...713L.126B,2011MNRAS.417.2166S,0.2486486486486486,6.523606826371923,Kepler-004,True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",Kepler-4 b,Kepler-4,TIC 350814622,89.76,0.24,-2.05,0.0247,0.00031,-0.0003,6.47,0.26,-0.28,0.0,2454956.6127,0.0015,-0.0015,,,,0.022,0.234,-0.022,0.087,0.0,5857.0,4.17,1.487,Transit,host_single
Kepler-020c,5495,50,50,0.07,0.08,0.08,0.948,0.051,0.051,0.964,0.018,0.018,4.446,0.01,0.01,1.07,0.27,0.27,10.854,0.16,0.01,0.09,0.0949,0.0027,0.0023,0.0401,0.0068,0.007,0.2718,0.0057,0.005,-1.0,-1.0,-1,1.9,0.4,0.4,772.0,26.0,26.0,2012ApJ...749...15G,2016AJ....152..160B,0.2819502074688796,21.16860949591969,Kepler-020c,True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",Kepler-20 c,Kepler-20,TIC 158554588,89.815,0.036,-0.63,,,,,,,0.076,2454971.60886,0.00016,-0.00016,,,,,,,,0.0,5495.0,,0.9164,Transit,planet_name
Kepler-020b,5495,50,50,0.07,0.08,0.08,0.948,0.051,0.051,0.964,0.018,0.018,4.446,0.01,0.01,1.07,0.27,0.27,3.696,0.03,0.09,0.03,0.0463,0.0009,0.0015,0.0305,0.0044,0.0045,0.1667,0.0059,0.003,-1.0,-1.0,-1,6.2,1.1,1.0,1105.0,37.0,37.0,2012ApJ...749...15G,2016AJ....152..160B,0.1729253112033195,10.3277831365762,Kepler-020b,True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",Kepler-20 b,Kepler-20,TIC 158554588,87.36,0.22,-1.6,,,,,,,0.083,2454967.50225,0.00033,-0.00033,,,,,,,,0.0,5495.0,,0.9164,Transit,planet_name
