planet,sector,transit_n,data_type,tag,model,mu,r2,regime,n_points,image,status
WASP-019,63,17,pre_baseline,pre,exponential,2.65495,-27.6232,Hyperballistic,43,transit_17_pre_msd.png,ok
WASP-019,63,18,pre_baseline,pre,exponential,3.09686,-49.13464,Hyperballistic,48,transit_18_pre_msd.png,ok
WASP-019,63,18,in_transit_raw,raw,exponential,0.81132,0.96435,Subdiffusive,48,transit_18_raw_msd.png,ok
WASP-019,63,18,in_transit_model,model,exponential,0.6241,0.98627,Subdiffusive,48,transit_18_model_msd.png,ok
WASP-019,63,18,in_transit_resid,resid,exponential,2.56318,-31.33949,Hyperballistic,48,transit_18_resid_msd.png,ok
WASP-019,63,18,post_baseline,post,exponential,2.67323,-32.32649,Hyperballistic,48,transit_18_post_msd.png,ok
WASP-019,63,19,pre_baseline,pre,exponential,2.76945,-35.06411,Hyperballistic,48,transit_19_pre_msd.png,ok
WASP-019,63,19,in_transit_raw,raw,exponential,0.82641,0.9015,Subdiffusive,48,transit_19_raw_msd.png,ok
WASP-019,63,19,in_transit_model,model,exponential,0.62452,0.98621,Subdiffusive,48,transit_19_model_msd.png,ok
WASP-019,63,19,in_transit_resid,resid,exponential,2.37782,-23.81251,Hyperballistic,48,transit_19_resid_msd.png,ok
WASP-019,63,19,post_baseline,post,exponential,2.64794,-27.24829,Hyperballistic,48,transit_19_post_msd.png,ok
WASP-019,63,20,pre_baseline,pre,exponential,2.4095,-32.55378,Hyperballistic,48,transit_20_pre_msd.png,ok
WASP-019,63,20,in_transit_raw,raw,exponential,0.82201,0.94027,Subdiffusive,48,transit_20_raw_msd.png,ok
WASP-019,63,20,in_transit_model,model,exponential,0.62098,0.98609,Subdiffusive,48,transit_20_model_msd.png,ok
WASP-019,63,20,in_transit_resid,resid,exponential,2.84796,-35.72003,Hyperballistic,48,transit_20_resid_msd.png,ok
WASP-019,63,20,post_baseline,post,exponential,3.07746,-25.8866,Hyperballistic,48,transit_20_post_msd.png,ok
WASP-019,63,21,pre_baseline,pre,exponential,2.59913,-21.30691,Hyperballistic,49,transit_21_pre_msd.png,ok
WASP-019,63,21,in_transit_raw,raw,exponential,0.59617,0.93837,Subdiffusive,48,transit_21_raw_msd.png,ok
WASP-019,63,21,in_transit_model,model,exponential,0.64647,0.98699,Subdiffusive,48,transit_21_model_msd.png,ok
WASP-019,63,21,in_transit_resid,resid,exponential,2.66367,-30.43762,Hyperballistic,48,transit_21_resid_msd.png,ok
WASP-019,63,21,post_baseline,post,exponential,2.79691,-24.3058,Hyperballistic,48,transit_21_post_msd.png,ok
WASP-019,63,22,pre_baseline,pre,exponential,2.91465,-21.4328,Hyperballistic,48,transit_22_pre_msd.png,ok
WASP-019,63,22,in_transit_raw,raw,exponential,1.68882,0.99252,Superdiffusive,49,transit_22_raw_msd.png,ok
WASP-019,63,22,in_transit_model,model,exponential,1.05206,0.99771,Superdiffusive,49,transit_22_model_msd.png,ok
WASP-019,63,22,in_transit_resid,resid,exponential,2.65205,-49.40733,Hyperballistic,49,transit_22_resid_msd.png,ok
WASP-019,63,22,post_baseline,post,exponential,2.71509,-23.2144,Hyperballistic,48,transit_22_post_msd.png,ok
WASP-019,63,23,pre_baseline,pre,exponential,2.88303,-45.07085,Hyperballistic,48,transit_23_pre_msd.png,ok
WASP-019,63,23,in_transit_raw,raw,exponential,1.05116,0.96769,Superdiffusive,48,transit_23_raw_msd.png,ok
