pl_name,hostname,st_spectype,st_teff,pl_rade,pl_bmasse,pl_orbper,pl_orbpererr1,pl_trandur,pl_trandep,pl_tranmid,pl_tranmiderr1,ra,dec,disc_facility
"TOI-880.02","TOI-880","K",5050.00,2.19000000,5.43000000,2.57571000000,0.00028000000,1.9700000,0.07396008,2459400.61280000,0.02000000,94.1644734,-13.9873370,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1269 c","TOI-1269",,5554.02,2.22999162,5.60000000,9.23786144195,0.00003949294,2.7438438,0.06600000,2459711.38309896,0.00229960,249.6966397,64.5591810,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-451 c","TOI-451","G8 V",5490.00,2.93000000,3.70000000,9.19246300000,0.00001700000,3.4610000,0.10480000,2460314.63760000,0.00250000,62.9663850,-37.9397300,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-475 b","Kepler-475",,5009.00,2.49000000,6.76000000,3.10550818900,0.00000104200,1.7210000,0.09109000,2454966.21043600,0.00027500,287.0516940,40.2114232,"Kepler"
"Kepler-195 b","Kepler-195",,5329.00,2.03000000,4.78000000,8.30787200000,0.00002000000,3.1500000,0.08238000,2455004.17120000,0.00133000,288.1209339,47.9666141,"Kepler"
"TOI-682.01","TOI-682",,5085.00,3.74186000,13.50000000,6.83923880000,0.00001270000,4.1760000,0.12130000,2460037.25993400,0.00160460,167.8854300,-22.0727803,"Transiting Exoplanet Survey Satellite (TESS)"
"HD 63935 b","HD 63935",,5513.00,2.91575244,10.50000000,9.05880700000,0.00001500000,3.7026559,0.08750000,2458494.44674000,0.00094000,117.9246417,9.3852412,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-734 b","Kepler-734",,5326.00,3.56000000,12.40000000,6.10485285600,0.00000289400,4.6760000,0.20903000,2455002.57334100,0.00034700,297.0456122,46.0273893,"Kepler"
"Kepler-1727 b","Kepler-1727",,5349.00,3.17321625,10.20000000,9.02929973600,,3.1323000,0.10198000,2455010.20422000,0.00142000,290.3336142,38.7282722,"Kepler"
"NGTS-4 b","NGTS-4",,5143.00,3.18000000,20.60000000,1.33735080000,0.00000800000,1.8000000,0.12266761,2457607.99750000,0.00340000,89.5988945,-30.8117992,"Next-Generation Transit Survey (NGTS)"
