planet,sector,transit_n,data_type,tag,model,mu,r2,regime,n_points,image,status
HIP_00065,28,14,in_transit_raw,raw,exponential,2.21319,-1.11566,Hyperballistic,23,transit_14_raw_msd.png,ok
HIP_00065,28,14,in_transit_model,model,exponential,2.2154,-0.66784,Hyperballistic,23,transit_14_model_msd.png,ok
HIP_00065,28,14,in_transit_resid,resid,exponential,2.44905,-402.93892,Hyperballistic,23,transit_14_resid_msd.png,ok
HIP_00065,28,14,post_baseline,post,exponential,2.50122,-461.30362,Hyperballistic,24,transit_14_post_msd.png,ok
HIP_00065,28,15,pre_baseline,pre,exponential,2.51538,-544.92081,Hyperballistic,24,transit_15_pre_msd.png,ok
HIP_00065,28,15,in_transit_raw,raw,exponential,2.19214,-1.11373,Hyperballistic,23,transit_15_raw_msd.png,ok
HIP_00065,28,15,in_transit_model,model,exponential,2.21506,-0.6661,Hyperballistic,23,transit_15_model_msd.png,ok
HIP_00065,28,15,in_transit_resid,resid,exponential,2.44908,-234.98879,Hyperballistic,23,transit_15_resid_msd.png,ok
HIP_00065,28,15,post_baseline,post,exponential,2.5055,-457.10961,Hyperballistic,24,transit_15_post_msd.png,ok
HIP_00065,28,16,pre_baseline,pre,exponential,2.47157,-77.5071,Hyperballistic,24,transit_16_pre_msd.png,ok
HIP_00065,28,16,in_transit_raw,raw,exponential,2.18343,-1.18969,Hyperballistic,24,transit_16_raw_msd.png,ok
HIP_00065,28,16,in_transit_model,model,exponential,2.25509,-0.82907,Hyperballistic,24,transit_16_model_msd.png,ok
HIP_00065,28,16,in_transit_resid,resid,exponential,2.50399,-247.19703,Hyperballistic,24,transit_16_resid_msd.png,ok
HIP_00065,28,16,post_baseline,post,exponential,2.42616,-49.45232,Hyperballistic,23,transit_16_post_msd.png,ok
HIP_00065,28,17,pre_baseline,pre,exponential,2.50647,-360.81612,Hyperballistic,24,transit_17_pre_msd.png,ok
HIP_00065,28,17,in_transit_raw,raw,exponential,2.1325,-0.85408,Hyperballistic,23,transit_17_raw_msd.png,ok
HIP_00065,28,17,in_transit_model,model,exponential,2.21733,-0.677,Hyperballistic,23,transit_17_model_msd.png,ok
HIP_00065,28,17,in_transit_resid,resid,exponential,2.44169,-307.90915,Hyperballistic,23,transit_17_resid_msd.png,ok
HIP_00065,28,17,post_baseline,post,exponential,2.50035,-98.44583,Hyperballistic,24,transit_17_post_msd.png,ok
